Valid_citing_DOI,Invalid_cited_DOI
10.1049/iet-map.2013.0102,10.1007/s11277‐010‐0097‐2
10.1161/01.res.87.10.840,10.1161/res.69.5.1934359
10.1161/01.cir.84.5.2135,10.1161/res.60.5.2885105
10.1161/01.str.25.2.298,10.1161/str.7.2.1265805
10.1145/3417990.3420048,10.1145/3365438.3410967
10.1161/01.cir.0000121739.05643.e6,10.1161/circ.102.6.624
10.1161/01.cir.93.3.603,10.1161/circ.78.5.3180384
10.1161/01.cir.57.2.349,10.1161/circ.51.6.48432
10.1007/s12237-018-0396-5,10.1016/j.limno.2008.01.003.
10.1161/01.res.35.6.923,10.1161/circ.48.2.313
10.1161/01.str.25.9.1730,10.1161/str.10.3.462510
10.1155/2015/109353,10.1111/dsu.12310
10.15722/jds.12.10.201410.47,10.13106/jds.2014.vol12.no7.23.
10.1161/01.atv.14.3.367,10.1161/atv91.14.3.8123641
10.1161/01.cir.42.3.375,10.1161/circ.39.4.435
10.1016/b978-1-4557-2865-7.00052-7,10.1200/jco.2009.27.15_suppl.9000
10.1007/978-3-030-32952-5_13,10.2527/jas1977.443395x.
10.1002/j.0022-0337.2009.73.10.tb04811.x,10.1002/j.0022-0337.2006.70.2.tb04068.x
10.14233/ajchem.2020.22461,10.1111/cbdd.12490.
10.1080/02607476.2014.957996,10.1080/02607476.2014.956544.
10.1161/01.cir.79.6.1197,10.1161/circ.75.5.2436828
10.1161/01.res.36.5.654,10.1161/res.20.6.638
10.1161/01.res.82.11.1145,10.1161/res.79.4.887
10.1161/01.str.30.8.1561,10.1161/str.29.9.1759
10.1161/01.cir.98.25.2905,10.1161/circ.96.9.3129
10.1080/10357718.2014.978737,10.1016/0016-7185(92)90042-3.
10.1161/circresaha.108.175190,10.1161/res.81.6.953
10.1161/circresaha.109.202077,10.1161/circ.90.1.8026041
10.1161/circep.112.971341,10.1161/circ.101.11.1288
10.1007/s00248-017-1022-y,10.1046/j.0300-3256.2001.00095
10.1145/3409891.3409910,10.5555/2017507.2017513
10.1161/01.cir.94.6.1197,10.1161/hyp.27.3.346
10.1145/3132747.3132778,10.5555/1947412.1947455
10.1145/2813448.2813521,10.5555/3104322.3104326
10.1007/s12517-019-4449-2,10.1007/s10040-014-1122-4i:10.1007/s10098-007-0143-2
10.1161/01.cir.62.6.1165,10.1161/circ.56.2.872305
10.11647/obp.0203.06,10.4324/9780203012406
10.1177/1043659616672062,10.21.2196/mir.3499
10.1177/1365480217744290,10.1007/s10833–016–9289–1
10.1145/1629607.1629610,10.5555/1791949.1791960
10.3389/fnhum.2016.00432,10.1016/j.chb.2012.03
10.1002/2014jd021567,10.1175/jasd-11-0249.1
10.1177/0739456x20920913,10.1126/science.1172133.
10.1161/01.cir.81.4.1312,10.1161/circ.76.2.3608129
10.1161/01.str.16.1.92,10.1161/str.6.3.245
10.1161/01.str.18.3.541,10.1161/str.13.3.7080120
10.1186/s40409-018-0172-9,10.1016/j.toxicon.2018.06.064.
10.1161/01.cir.0000019905.18467.07,10.1161/circ.84.5.1934373
10.1161/01.cir.0000109699.45186.30,10.1161/circ.89.6.8205691
10.2478/s11696-010-0006-x,10.1002/aic.10562.http://dx.doi.org/10.1002/aic.10562
10.3280/rsf2015-003005,10.1192/bjp.190.5s6
10.1161/hc1102.105289,10.1161/circ.96.4.1313
10.1161/01.res.39.2.238,10.1161/res.5.4.357
10.1002/jclp.22070,10.1111/j.1741‐3737.2005.00167.x
10.1161/01.cir.70.3.445,10.1161/circ.60.4.476877
10.1161/01.res.0000051885.70159.12,10.1161/res.83.5.516
10.1111/bjhp.12152,10.1037/0033‐2909.124.1.54
10.1007/s11104-016-2976-0,10.1073/pnas.0604666104.
10.1145/122344.122352,10.5555/1029786.1029795
10.1161/01.hyp.11.3_pt_2.ii96,10.1161/circ.68.3.6223721
10.1161/01.res.0000067471.95890.5c,10.1161/res.86.8.846
10.3389/fgene.2020.00131,10.1007/s40265-016-0657-110.1089/nat.2017.0682
10.1161/01.str.25.2.445,10.1161/str.24.11.7694393
10.4018/978-1-5225-8128-4.ch009,10.15639/teflinjournal.v27i2/166-181
10.1088/1674-1056/ab8456,10.11889/j.0253-3219.2016.hjs.39.020603
10.1161/01.cir.92.11.3172,10.1161/circ.89.5.8181171
10.2307/1311969,10.2307/1691941
10.1080/01639625.2017.1419684,10.1007/s111136-010-9740-3
10.1145/3009837.3009877,10.5555/645891.671433
10.1073/pnas.94.23.12407,10.1111/j.1432--1033.1989.tb15057.x
10.2307/30147086,10.2307/30105075
10.1145/2470654.2481363,10.5555/2305316.2305374
10.4236/oje.2013.36044,10.1890/06-1444.1?
10.1016/j.jcyt.2014.05.005,10.1186/scrt329
10.1002/9781118540190.wbeic022,10.1037/0022‐3514.53.4.743
10.1161/01.cir.54.3.452,10.1161/circ.47.1.86
10.1161/strokeaha.108.531285,10.1161/str.31.8.1925
10.1161/01.res.77.3.611,10.1161/circ.84.1.2060105
10.1007/s10596-020-09981-2,10.1016/j.cma.2007.01.13
10.1161/hy1001.092649,10.1161/res.67.6.2147130
10.3389/fcell.2020.00109,10.1210/en.2018-2048
10.2478/s11696-012-0142-6,10.1016/j.mseb.2006.07.037.http://dx.doi.org/10.1016/j.mseb.2006.07.037
10.1145/2702123.2702295,10.5555/944919.944937
10.1161/01.str.0000173403.60553.27,10.1161/str.30.10.2131
10.1080/15377903.2019.1660748,10.1007/s12310-01409128-6
10.1007/s11356-020-07936-9,10.11764/j.issn.1672-1926.2014.02.0141
10.2478/s11696-014-0539-5,10.1039/b003010o.
10.1086/680013,10.2307/41988548
10.3389/fcimb.2015.00060,10.1016/j.tube.
10.1101/476408,10.1002/nafm.10063.
10.1088/2053-1591/ab5261,10.5923/j.nn.20180801.01
10.1177/0898264319830805,10.1097/001942-200105000-00004
10.1017/9781108348607.007,10.1515/9781503603042
10.1145/3127479.3132254,10.5555/645921.673145
10.1080/1536383x.2017.1389906,10.1186/s11671-015-1216-5.
10.1002/2013jf002737,10.1002/3sp.3392
10.1007/978-1-4939-7003-2_17,10.1111/j.1751–1097.2008.00435.x
10.1145/2642937.2642972,10.5555/1308173.1308264
10.1161/01.atv.18.11.1723,10.1161/circ.82.2.2372896
10.1161/01.cir.99.18.2361,10.1161/circ.97.5.421
10.1161/01.cir.89.1.142,10.1161/circ.83.4.2013149
10.1093/mind/fzt030,10.1215-110-4-495
10.1161/01.hyp.5.6.814,10.1161/circ.51.2.1112009
10.1007/978-3-030-22063-1_51,10.1051/matecconf.2018
10.1145/2492517.2500282,10.5555/2074158.2074196
10.1080/02701960.2018.1506775,10.1080/03601270390231166
10.1002/oa.2308,10.1016/j.has.2011.06.001
10.1101/2019.12.27.889345,10.1021/acs.chemrev.6b00296.
10.1161/01.cir.96.2.475,10.1161/circ.77.2.2962786
10.1161/01.hyp.37.6.1404,10.1161/circ.86.4.1394918
10.1603/0046-225x-35.2.351,10.1093/jee/94.5.1177
10.1161/01.res.38.2.115,10.1161/circ.48.5.959
10.1002/dac.3855,10.1145/3012426.3022184
10.1161/circoutcomes.108.829143,10.1161/circ.102.15.1773
10.1177/0959683617702223,10.1177/0959683616652701.
10.3389/fphar.2020.01101,10.4414/smw.2107.14533
10.1177/1745691616635592,10.1371/journal.pone.0036680.
10.1161/01.cir.60.1.164,10.1161/circ.55.3.319920
10.1145/1090191.1080103,10.5555/839292.843086
10.1161/circulationaha.107.182615,10.1161/circ.89.4.8149520
10.1161/01.cir.94.6.1465,10.1161/circ.67.6.6851031
10.35771/engdoi.2018.31.4.016,10.15702/mall.2013.16.2.71
10.3390/ph11020057,10.1186/gm326
10.3389/fnbot.2017.00022,10.1152/jn.00605.2001
10.11647/obp.0141,10.1080/00358533.2010.49897
10.1161/res.90.1.2,10.1161/circ.99.12.1560
10.1128/jcm.02593-20,10.3201/eid2610.202403
10.1161/01.res.37.1.1,10.1161/res.34.5.599
10.1161/01.cir.69.5.1058,10.1161/circ.62.3.6446989
10.1080/00948705.2013.832262,10.1080/00948705.1998.9714565.
10.2307/1308005,10.2307/66224
10.17116/repro201723148-53,10.1016/j.rbmo.2016.09.11
10.1080/15427609.2016.1166014,10.177/071932510361247
10.1161/01.str.0000189624.06836.03,10.1161/str.26.10.1801
10.1161/01.cir.101.15.1861,10.1161/circ.96.10.3710
10.1145/3361525.3361548,10.5555/1315451.1315479
10.1007/978-3-030-37277-4_45,10.1504/ijehv.2017.08281
10.1063/1.2990756,10.1117/1.2169755
10.1145/384286.264163,10.5555/1267638.1267646
10.1007/978-981-15-1960-4_8,10.7818/re.2014.25-2.00
10.1145/3125433.3125472,10.5555/2017296.2017298
10.3389/fimmu.2018.00313,10.1189/jlb.72.4.727
10.1161/01.res.76.2.223,10.1161/res.72.1.8417848
10.1007/978-3-319-28492-7_27,10.1080/10443410.2011.654190
10.1161/hypertensionaha.111.00793,10.1161/hyp.33.3.781
10.3389/fcimb.2016.00075,10.1016/j.cmi.2016.03.028.
10.2478/s11696-011-0052-z,10.1016/j.tet.2004.03.052.http://dx.doi.org/10.1016/j.tet.2004.03.052
10.1161/01.res.79.5.940,10.1161/res.68.3.1742868
10.3233/prm-190604,10.1080/
10.5951/jresematheduc.44.1.0037,10.2307/1393219
10.1002/047167849x.bio008.pub2,10.1016/0163‐7827(84)90004‐3
10.5812/ijpbs.104727,10.1101/2020/03/08/2020.03.05.20031898
10.1161/01.str.29.12.2501,10.1161/str.26.10.1787
10.1007/978-3-319-22404-6_19,10.1093/imanum/22.3.329
10.1145/3344429.3372508,10.5555/2818754.2818828
10.1161/01.cir.94.5.992,10.1161/circ.92.11.3220
10.1161/01.str.28.11.2252,10.1161/str.21.9.2396268
10.1080/00918369.2015.1021637,10.1080/15504280903472949
10.1080/10926771.2017.1289999,10.1037/a003263
10.1161/01.cir.101.9.1034,10.1161/atvb.17.10.2115
10.1007/978-3-319-95630-5_55,10.1109/meacs.2015
10.1161/01.cir.92.11.3158,10.1161/circ.91.7.2093
10.1145/502807.502808,10.5555/519452.830772
10.1161/01.hyp.34.4.574,10.1161/res.82.1.21
10.3280/pnei2018-001003,10.1177/096120331349995
10.1161/01.hyp.38.2.227,10.1161/hyp.36.1.137
10.1007/s00248-019-01367-x,10.1111/j.0030-1299.20054/13512.x
10.15237/gida.gd19121,10.1016/j.copbio.2016.11.010.
10.2478/s11687-012-0040-z,10.1007/s00436-009-1466-1http://dx.doi.org/10.1007/s00436-009-1466-1
10.1002/2016jd025564,10.5194/acp‐9‐945‐2009
10.3233/ip-190195,10.1007/s13398-014-0173-7.2
10.1172/jci144115,10.3390/pathogens9070529
10.1161/01.cir.72.6.1327,10.1161/circ.72.2.4006146
10.1161/01.str.32.2.392,10.1161/str.22.2.2003285
10.1080/13506285.2015.1121946,10.1371/journal.pone0023552
10.1161/01.atv.0000015330.64968.c4,10.1161/circ.97.12.1129
10.1002/9781119438519.ch8,10.1111/j.1752‐0606.1997.tb00239.x
10.1080/10485252.2017.1306627,10.2307/2346101
10.1161/01.cir.90.4.2126,10.1161/circ.77.3.3342483
10.1515/chempap-2015-0121,10.1039/ja9961100
10.1080/23328940.2017.1304194,10.1007/s40279-016-0483-3.
10.1007/978-3-030-37218-7_116,10.1681/asn
10.1007/s40521-019-0201-0,10.3390/ijms18061223.
10.1002/rog.20022,10.1007/s10236‐003‐0082‐3
10.3139/217.3597,10.016/j.polymdegradstab.2007.02.018
10.1139/cjz-2014-0226,10.1111/j.1439.0310.2006.01284.x
10.1145/2757667.2757671,10.5555/1776200.1776210
10.1161/strokeaha.110.596817,10.1161/str.29.11.2325
10.1007/978-3-030-14943-7_4,10.1146/annuvev.me.23.020172.002203
10.1101/2020.09.01.276626,10.1101/lm.1.2.140
10.1007/978-3-319-61346-8_2,10.1515/reveh.2008.23.4.24
10.1145/2377677.2377764,10.5555/839292.843009
10.1179/jbr.1996.19.2.235,10.1080/00040851.1993.12003017
10.1038/s41598-020-63271-6,10.1111/j.1468-3083.2012.04622.x.
10.1007/s41825-017-0007-2,10.2307/2265183
10.1155/2014/193816,10.4014/jmb.0803.226
10.1103/physreve.85.061802,10.1140/epje/i200510078-6
10.1145/966389.966390,10.5555/1965841.1965858
10.1145/2248487.2150999,10.5555/998680.1006711
10.3389/fped.2018.00327,10.1111/j.1600-0609.2007.00868
10.1080/03323315.2014.983679,10.1080/14623940500220095.
10.1080/00131946.2020.1799215,10.1457/epaa.24.2152
10.2478/s11696-008-0062-7,10.1021/es980268e.http://dx.doi.org/10.1021/es980268e
10.1007/s13201-019-0926-8,10.4103/2277-9183.153992
10.1002/adma.202002211,10.1021/jp076866
10.1134/s1064229320080141,10.5846/stxb201801240192
10.1161/01.atv.21.2.189,10.1161/circ.101.11.1234
10.1016/j.ijdevneu.2019.07.004,10.1007/s10545‐010‐9154‐y
10.1007/s00403-019-02032-6,10.1111/1346-8138.150
10.1161/jaha.116.004612,10.1161/circ.97.18.1837
10.1007/s10664-020-09836-5,10.5555/41765.41768
10.1155/2019/7392713,10.1039/c6gc02346k.
10.1161/01.str.32.1.107,10.1161/str.30.11.2369
10.1145/2993148.2993175,10.5555/2209818.2210641
10.1155/2018/5265291,10.1016/s1040-84280100178-0
10.3389/feart.2018.00013,10.15517/cat.v15i0.10763
10.1186/s12889-019-7374-0,"10.1001/jama.298.16.1888,8/26/2017"
10.1145/3184400,10.5555/1622591.1622602
10.1515/chempap-2015-0171,10.1002/15210
10.3389/fpls.2017.01697,10.1038/nrm302
10.1007/978-3-319-15413-8_2,10.1515/9780804776271
10.1007/978-3-030-16621-2_57,10.5815/ijmecs.2017.08.04
10.3389/ffgc.2019.00013,10.1080/01431161.2019.1574996.
10.1161/circresaha.107.170274,10.1161/circ.102.11.1296
10.1177/0146167216662867,10.1002/ejsp
10.1161/atvbaha.115.306499,10.1161/circ.94.12.3341
10.1161/01.atv.20.2.545,10.1161/circ.92.6.1597
10.17126/joralres.2014.029,10.1002/j.0022-0337.2005.69.3.tb03920.x
10.1161/01.res.39.2.168,10.1161/res.28.1.62
10.1080/23299460.2020.1771145,10.1515/9780691214214
10.1080/1034912x.2014.985638,10.1016/j.tata.2009.03.005
10.1145/347636.349016,10.5555/800253.807736
10.1121/1.4864292,10.016114618213010037
10.1161/01.cir.74.5.1007,10.1161/circ.64.4.6974061
10.1161/01.hyp.0000102971.85504.7c,10.1161/circ.103.7.987
10.1080/10481885.2016.1214476,10.2513/s10481885pd1602_6
10.3852/11-108,10.1007/s00248-010-9794-3.
10.1007/978-3-030-40655-4_21,10.1016/j.amsurg.2005.08.022
10.1145/3366423.3380076,10.5555/3060832.3060886
10.1111/1742-6723.12765,10.1186/cc12526
10.1186/s12905-017-0481-0,10.1080/03630242
10.1016/j.sysarc.2011.06.003,10.1145/1189762.1206075
10.1161/01.str.0000231387.58943.1f,10.1161/str.27.3.550
10.18632/oncotarget.12600,10.1038/nm.3984.
10.1145/1041680.1041681,10.5555/646334.687813
10.2139/ssrn.3721640,10.1016/j.regsciurbeco.2010.05.006>
10.5325/philrhet.47.3.0227,10.2307/20697135
10.1161/01.str.22.5.603,10.1161/circ.53.4.815061
10.4018/978-1-5225-0169-5.ch011,10.36366/frontiers.v22i1.316
10.3389/fgene.2018.00481,10.1534/genetics.117.300109
10.3233/mgs-190318,10.1007/978-3-662-47980-3.00105
10.1088/1555-6611/ab585f,10.5277/oa130203
10.1161/01.hyp.30.5.1029,10.1161/res.75.3.7520371
10.1093/aje/kwz200,10.1093/ajekwz127
10.1177/2329490616657635,10.1177/01431x11427589
10.1161/01.str.0000038986.68044.39,10.1161/str.33.3.782
10.3390/jcm8101744,10.1155/2005/407216
10.3835/plantgenome2013.04.0010,10.1186/1471‐2164‐11‐702
10.3390/e21100951,10.1007/978-3-662-49381-6\_56
10.1145/242224.250708,10.5555/647547.728601
10.1161/01.cir.91.1.145,10.1161/res.73.3.8348693
10.1080/11250003.2014.945974,10.1016/j.biocon.2005.07.001.
10.1161/01.str.26.9.1536,10.1161/str.5.3.303
10.1161/01.res.49.4.829,10.1161/res.26.1.71
10.1080/14790718.2014.887088,10.2104/ara10830
10.1161/01.cir.74.6.1266,10.1161/res.46.6.7379247
10.18821/0869-2106-2019-25-4-210-214,10.1038/41598-018-28792
10.1525/sp.2005.52.3.379,10.2307/223513
10.1145/3135974.3135983,10.14778/3402707.3402752
10.1161/01.atv.20.1.43,10.1161/res.74.3.8118960
10.1101/142489,10.1002/047114727.mb2129s109
10.3844/ajebasp.2011.410.415,10.3844/ajassp.2010
10.1007/s40010-018-0549-8,10.1155/859638
10.1161/hy1101.096114,10.1161/res.83.12.1182
10.17816/clinpract09135-38,10.1016/j.jtos
10.1007/s10956-016-9652-2,10.1007/s11165-11009-19126-11160
10.2478/s11696-014-0553-7,10.1007/s11356-012-0864-6.http://dx.doi.org/10.1007/s11356-012-0864-6
10.1161/01.cir.101.5.570,10.1161/res.84.5.525
10.1161/01.cir.69.2.409,10.1161/circ.55.5.849634
10.1002/2014gl059692,10.1007/s10584‐012‐0430‐8
10.1161/atvbaha.110.221176,10.1161/circ.101.12.1362
10.1161/01.cir.91.11.2793,10.1161/res.68.1.1984855
10.1007/978-3-319-59180-3_2,10.1136/bmj.g4227.
10.1242/bio.046565,10.1016/j.ydbio.2015.03.005.
10.5822/978-1-61091-512-0_6,10.1111/j.l570-7458.2007.00521.x
10.1007/s40471-016-0080-x,10.1503/cmaj
10.1161/circulationaha.104.486720,10.1161/circ.101.23.2756
10.1049/mnl.2014.0393,10.1016/0021‐9797(68)90272‐5
10.1161/01.atv.11.1.161,10.1161/circ.79.1.2642753
10.1007/978-3-030-12500-4_11,10.1002/9780470112250
10.1145/2809695.2809706,10.5555/646735.701625
10.1161/01.atv.17.6.1011,10.1161/atv91.12.8.1637798
10.1161/01.res.18.3.323,10.1161/res.7.2.262
10.1161/circulationaha.114.006980,10.1161/circ.87.2.8381058
10.2478/s11696-012-0304-6,10.1016/j.reactfunctpolym.2008.06.012.http://dx.doi.org/10.1016/j.reactfunctpolym.2008.06.012
10.15237/gida.gd18098,10.1016/j.foodres.2010.11.015.
10.1145/1082983.1083187,10.5555/381473.381475
10.1080/10407790.2019.1628542,10.1016/2016.10.085
10.1080/13698575.2014.927838,10.1097/01.gim.0000245579.79093.86.
10.1161/hq0102.102189,10.1161/circ.93.12.2178
10.1145/3436829.3436848,10.5555/1077303.1077304
10.5325/chaucerrev.44.3.0268,10.2307/25094390
10.2478/bog-2018-0003,10.2478/bcg-2013-0013
10.3390/biomedicines8050109,10.1101/2020.04.02.20047050v1
10.3389/fnana.2019.00027,10.1097/01.wnr.0000134584.10207
10.1080/17513057.2012.691525,10.1016/0147-1767(89)90013–8
10.1161/01.res.66.1.8,10.1161/circ.43.5.711
10.1080/00220973.2018.1448744,10.0.3.239/s11423-012-9267-0
10.1111/aae.12080,10.2307/41223685
10.1017/s1751731110001461,10.20870/productions-animales.1999.12.3.3882
10.1002/9781119438519.ch35,10.1007/s12187‐014‐9270‐6
10.1080/21501378.2017.1422681,10.1002/j.2161-1939.2011.tb00119x
10.1161/01.str.0000071761.36075.a6,10.1161/str.28.11.2162
10.1111/and.13278,10.1002/j.1939-4640.2001.tb02171.x
10.1161/01.atv.0000209577.04246.c0,10.1161/atvb.17.10.1885
10.1161/01.res.43.1.115,10.1161/res.26.4.507
10.1145/1035292.1029007,10.5555/551789.853531
10.1177/0018578720931463,10.7326/0003-4819-115-8-585.
10.1186/s12877-020-01776-5,10.2174/1573399815666190129155654
10.2307/4090135,10.2307/3677376
10.1161/circresaha.116.302752,10.1161/res.87.10.888
10.1186/s13006-017-0117-x,10.11604/pamj.2013.14.75.1630
10.1161/01.res.75.1.85,10.1161/res.69.2.1860176
10.1017/9781316476925.017,10.31826/jlr-2016-133-412
10.1145/2791301.2798086,10.5555/5615.5616
10.1161/01.cir.96.9.2868,10.1161/atv91.11.1.1670989
10.1145/3122788,10.5555/2627435.2670313
10.1161/01.cir.53.6.917,10.1161/circ.10.3.384
10.3399/bjgp14x681757,10.1158/ajc.1938.443
10.2478/s11696-013-0353-5,10.5897/jmpr10.125.
10.1101/2020.09.15.298349,10.1167/jov.20.6.13
10.1145/2578726.2578779,10.5555/1613715.1613751
10.1089/omi.2020.0122,10.1126/science.368.6489.356
10.2478/s11696-013-0357-1,10.1126/science.279.5350.548.http://dx.doi.org/10.1126/science.279.5350.548
10.20875/makusobed.555411,10.3390/bs8090082.
10.1177/1179069517703354,10.1016/j.neuron.2014.01.041.
10.3389/fgene.2020.00477,10.2307/4356804
10.1017/9781316275047.034,10.1002/oby.20922
10.1161/01.res.0000251668.39526.c7,10.1161/circ.103.6.799
10.1161/01.str.20.3.386,10.1161/str.10.3.462508
10.3835/plantgenome2010.02.0003,10.1111/j.1742‐4658.2005.04732.x
10.1161/circinterventions.110.959460,10.1161/circ.104.5.533
10.1177/1178223417749816,10.1371/journal.pone.0141562.
10.1161/circresaha.116.309326,10.1161/res.88.9.888
10.1161/01.cir.88.5.2381,10.1161/circ.74.2.3731429
10.2478/s11686-011-0007-0,10.1080/00222930310001613557.http://dx.doi.org/10.1080/00222930310001613557
10.1145/2789168.2790124,10.5555/1201922
10.1161/jaha.117.005543,10.1161/circ.99.15.1965
10.1139/cjfr-2019-0247,10.1684/sec.2008.0148
10.1007/978-3-319-45231-9_4,10.1002/ijc
10.3389/fpls.2014.00393,10.1101/gad.1402406.gree
10.3389/fmicb.2020.589640,10.1099/mic.0.2007/012856-12850
10.1161/strokeaha.108.528752,10.1161/circ.99.7.852
10.1161/01.cir.79.2.312,10.1161/circ.63.6.6452972
10.1007/978-3-030-26945-6_22,10.15413/ajer.2014.0129
10.1029/2012gl053338,10.1007/s10584‐011‐0126‐5
10.1161/01.str.0000248764.51601.bb,10.1161/circ.82.4.2205416
10.1186/s12859-018-2581-8,10.1371/journal.pone.0145322.
10.1101/2020.10.11.335166,10.1007/128
10.1080/21520704.2010.534546,10.25071/1920-7336.21884
10.1161/01.str.26.6.1079,10.1161/str.13.5.7123604
10.1161/circimaging.116.005899,10.1161/circ.83.4.2013149
10.1145/3392833,10.5555/2433508.2433680
10.1080/19312458.2014.903390,10.1111/j.1468–2958.1996.tb00376.x
10.1080/10357823.2020.1855109,10.1080/00472336.2013.769386.
10.1145/3396474.3396490,10.5555/1708507.1708520
10.3389/fmars.2016.00155,10.1016/j.jmarsys.2013.04.01
10.3389/fmicb.2020.00137,10.26355/eurrev-201901-16891
10.29185/hayuretim.630155,10.2527/2004.8261572x.
10.1145/2799648,10.5555/1018428.1020716
10.5951/jresematheduc.45.4.0460,10.2307/3233477
10.1145/42392.42403,10.5555/645717.665636
10.1080/00940771.2020.1840268,10.1080/10796126.2015.1058423
10.1161/circresaha.107.165183,10.1161/res.44.4.428047
10.1161/hh1301.093825,10.1161/res.85.9.e25
10.1145/2000807.2000814,10.5555/41287.41291
10.1007/978-3-030-53933-7_15,10.17148/iarjsetp1
10.2307/1313162,10.2307/76501
10.2478/s11686-012-0014-9,10.1111/j.1365-2761.1981.tb01161.x.http://dx.doi.org/10.1111/j.1365-2761.1981.tb01161.x
10.1002/9781118890233.ch1,10.1111/j.1600‐0447.2007.01113.x
10.1525/auk.2012.12095,10.2307/25223459
10.1007/978-3-319-90318-7_13,10.1111/j.13653040.2011.02426.x
10.1080/21623945.2018.1429784,10.1177/1010539509340690.
10.1161/str.0b013e318296aeca,10.1161/str.25.6.8202968
10.3389/fonc.2020.610923,10.1016/annonc/annonc283
10.1002/2014ms000342,10.1175/1520-0469(1996)053
10.3390/ma11122550,10.5923/j.cmaterials.20150505.01
10.1161/01.cir.47.5.1137-a,10.1161/circ.43.4.480
10.3390/cancers12040883,10.9777/chd.2019.1014
10.1145/99571.99805,10.5555/5280.5281
10.1161/01.cir.96.11.3888,10.1161/circ.94.1.88
10.2307/3097134,10.2307/40229819
10.1145/356989.357005,10.5555/783327.783592
10.1161/01.cir.21.5.1002,10.1161/res.4.1.85
10.17244/eku.643224,10.7822/omuefd.327393.
10.3389/fmolb.2019.00051,10.1093/bioinformatics/btz460.
10.1145/3132847.3132993,10.5555/3066940
10.1152/ajplung.00146.2019,10.1126/scitranslmed.aan5174
10.1145/3379445,10.5555/2499604.2499609
10.3389/fmicb.2018.01818,10.111/are.13367
10.1161/01.str.22.10.1245,10.1161/str.17.1.3945987
10.1161/01.cir.62.6.1373,10.1161/circ.59.1.152169
10.1111/sed.12679,10.1007/s10347-003-0036-8
10.1002/9781119458449.ch11,10.1007/s10291‐014‐0369‐5
10.1161/01.res.14.5.461,10.1161/res.8.3.530
10.3389/fpls.2020.610011,10.1104/pp.104.038893.1
10.1111/imj.12854,10.1097/01.sla.0000150066.83563.52
10.1161/01.hyp.0000143844.81979.61,10.1161/hyp.36.1.2
10.1161/jaha.113.000476,10.1161/atvb.18.10.1625
10.1038/s41598-019-55350-0,10.1037/10768971.7.1.170
10.1155/2017/9390803,10.1080/bbb.58.1476
10.2307/1365211,10.2307/1753907
10.1161/circulationaha.105.592410,10.1161/circ.93.3.502
10.1161/01.hyp.0000118053.42262.71,10.1161/hyp.39.1.135
10.1161/01.cir.100.17.1791,10.1161/circ.91.5.1588
10.1161/jaha.115.002965,10.1161/circ.103.13.1813
10.3389/fimmu.2020.580401,10.1158/1535-7163
10.15171/jcvtr.2019.38,10.4244/eijy14m08_18
10.1136/ejhpharm-2020-002410,10.1136/ejhpharm-2018-001821
10.1145/1379023.1375678,10.5555/647471.727287
10.1145/3022670.2951941,10.5555/788017.788769
10.1007/s10389-020-01431-8,10.1186/1478-7954-8-28.
10.3390/ijms20184367,10.1002/04711417.ph0506s00.55
10.1002/jgrd.50219,10.1107/s11214-011-9857-x
10.1161/01.cir.0000074203.66371.29,10.1161/circ.101.18.2165
10.1101/2020.02.20.957795,10.1016/j.neuron.2011.03.013.
10.1161/01.cir.58.3.476,10.1161/circ.52.5.1175264
10.1007/s00127-019-01681-2,10.1207/s15327752jpa66012
10.1007/s10459-019-09889-2,10.3946/kjme.2016
10.1145/2966985,10.5555/2854922.2854925
10.3389/fimmu.2018.00734,10.1189/jlb.72.5.1063
10.1145/2648787,10.5555/794194.794977
10.1136/bmjopen-2017-019605,10.1111/jpc.12814
10.1161/01.cir.75.2.353,10.1161/circ.61.3.7353253
10.1161/01.cir.102.13.1569,10.1161/circ.99.10.1385
10.2307/1295862,10.2307/58387
10.1002/9781118960226.ch17,10.1371/journal.pone.0012669)
10.1145/3270112.3270113,10.5555/647983.743552
10.3389/fonc.2019.00297,10.1038/nbt0104–3
10.1002/2014jc010128,10.1175/1520-0485(2001)031
10.1161/circep.108.832519,10.1161/circ.94.5.983
10.1145/2665943.2665968,10.5555/1251375.1251396
10.1007/s00343-020-0110-x,10.10167/j.tsf.2005.05.016
10.1161/01.cir.0000074279.44131.de,10.1161/circ.101.11.1344
10.1161/circulationaha.112.113944,10.1161/atvb.16.3.455
10.1049/iet-cds.2015.0235,10.1007/s12668‐012‐0047‐4
10.1161/01.res.86.7.745,10.1161/res.78.5.750
10.1161/hc1102.105595,10.1161/circ.98.25.2800
10.1161/01.cir.92.5.1068,10.1161/circ.83.2.1899364
10.1002/j.0022-0337.2011.75.6.tb05108.x,10.1002/j.0022-0337.2006.70.4.tb04091.x
10.1080/13032917.2017.1315825,10.1016/j.tourman2004.06.008
10.1111/gean.12238,10.1111/j.0033-0124.2004.05601016.x
10.1101/728584,10.1007/s10804-015-92252
10.1080/01900692.2019.1664568,10.111/j.1540-6210.2011.02477.x
10.1080/03949370.2014.908326,10.1126/science.1067797.
10.1007/s00267-017-0920-6,10.5829/idosi.ajbas.2012.4.5.6627
10.1161/01.cir.39.6.745,10.1161/circ.37.6.922
10.1101/2020.07.23.216283,10.1093/molbev/msx148.
10.3835/plantgenome2011.12.0033,10.1186/1471‐2164‐10‐466
